price,price_per_sq_ft,bhk,sqft,bathrooms,has_lift,has_parking,has_gym,has_security,has_power_backup,has_swimming_pool,lat,lon,property_type,subproperty_type,age
14800000,14095.0,2,850.0,2.0,0,0,0,0,0,0,18.5167373381986,73.9263036508773,Residential,Apartment,0
10000000,6748.0,3,1098.0,3.0,0,0,0,0,0,0,18.4680743173029,73.8930224694682,Residential,Apartment,0
17995000,11602.0,3,1232.0,3.0,1,1,0,0,0,0,18.5530373310438,73.951490167295,Residential,Apartment,0
11000000,8527.0,2,860.0,3.0,0,0,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
8509760,8120.0,2,776.0,2.0,1,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
13500000,11250.0,2,920.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
14500000,9012.0,3,1192.0,3.0,1,1,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
24500000,15312.0,3,1157.0,3.0,1,0,0,0,0,0,18.4893883742541,73.8198003850328,Residential,Apartment,0
8387250,7950.0,2,780.0,2.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
17500000,11628.0,3,1060.0,3.0,1,1,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
6500000,9559.0,1,475.0,1.0,1,0,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
16467000,11000.0,3,1109.0,3.0,1,1,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
21000000,13125.0,3,1037.0,3.0,1,0,0,0,0,0,18.5057078629585,73.8059355451102,Residential,Apartment,0
24500000,13897.0,3,1306.0,3.0,0,1,0,0,0,0,18.537941505528,73.7969848127362,Residential,Apartment,0
14940000,8300.0,3,1250.0,3.0,0,0,0,0,0,0,18.55246177,73.80353449,Residential,Apartment,0
12110000,8650.0,3,1009.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
13750000,12244.0,3,1123.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
11000000,7840.0,3,877.0,3.0,1,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
13800000,11500.0,3,853.0,2.0,0,1,0,0,0,0,18.5543586655868,73.9591399743911,Residential,Apartment,0
8000000,11765.0,1,480.0,1.0,0,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
6350000,7560.0,2,628.0,2.0,0,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
13200000,9167.0,3,980.0,3.0,0,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
8500000,7456.0,2,820.0,2.0,1,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
16000000,11034.0,3,1065.0,3.0,0,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
8000000,8889.0,2,740.0,2.0,0,1,0,0,0,0,18.4575576340076,73.8049225876653,Residential,Apartment,0
7200000,8027.0,2,730.0,2.0,1,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
12500000,8333.0,3,943.0,3.0,0,1,0,0,0,0,18.532526,73.944996,Residential,Apartment,0
3000000,4286.0,2,685.0,2.0,0,0,0,0,0,0,18.7621144,73.8657666,Residential,Apartment,0
11500000,13039.0,2,716.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
24000000,15454.0,3,1336.0,3.0,1,1,0,0,0,0,18.6536881,73.7400954,Residential,Apartment,0
8800000,5594.0,2,1210.0,2.0,1,1,0,0,0,0,18.470825437984,73.9158708957281,Residential,Apartment,0
21000000,14685.0,3,1286.0,3.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
12000000,10610.0,2,870.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
8500000,9594.0,2,716.0,2.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
6500000,5909.0,2,780.0,2.0,1,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
4600000,5845.0,2,580.0,2.0,0,1,0,0,0,0,18.443965,73.809382,Residential,Apartment,0
4800000,9412.0,2,420.0,2.0,1,1,0,0,0,0,18.5911585,73.9260013,Residential,Apartment,0
5600000,6588.0,2,625.0,2.0,1,1,0,0,0,0,18.4439750329832,73.8768659759521,Residential,Apartment,0
7500000,9225.0,2,813.0,2.0,0,1,0,0,0,0,18.460745892296,73.8172582450134,Residential,Apartment,0
8300000,8359.0,2,851.0,2.0,1,1,0,0,0,0,18.60470063,73.78706675,Residential,Apartment,0
1800000,3913.0,1,400.0,1.0,0,0,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
4500000,6923.0,1,451.0,1.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
4900000,7346.0,1,534.0,1.0,1,1,0,0,0,0,18.4375067657152,73.7916389825431,Residential,Apartment,0
5000000,5848.0,2,633.0,2.0,0,1,0,0,0,0,18.4443480308241,73.8897421581184,Residential,Apartment,0
6600000,7174.0,2,852.0,2.0,1,1,0,0,0,0,18.5911585,73.9260013,Residential,Apartment,0
7000000,9259.0,2,650.0,2.0,1,1,0,0,0,0,18.6201867777314,73.7465762407311,Residential,Apartment,0
12000000,11823.0,3,985.0,3.0,1,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
11000000,7020.0,3,1350.0,3.0,0,0,0,0,0,0,18.470825437984,73.9158708957281,Residential,Apartment,0
4800000,4571.0,2,761.0,2.0,0,0,0,0,0,0,18.452499,73.9042255,Residential,Apartment,0
14500000,9355.0,3,1088.0,3.0,0,1,0,0,0,0,18.530748,73.927583,Residential,Apartment,0
21000000,11526.0,3,1350.0,2.0,1,1,0,0,0,0,18.4965095214786,73.853305586771,Residential,Apartment,0
3600000,5538.0,1,500.0,1.0,0,0,0,0,0,0,19.1179464762666,73.7342876020424,Residential,Apartment,0
9300000,10333.0,2,715.0,2.0,0,0,0,0,0,0,18.585592,73.7813696,Residential,Apartment,0
16800000,13291.0,3,860.0,2.0,0,0,0,0,0,0,18.599348,73.762495,Residential,Apartment,0
11000000,10476.0,2,1000.0,2.0,0,0,0,0,0,0,18.5635786191835,73.7712219425184,Residential,Apartment,0
4750000,5491.0,2,665.0,2.0,1,1,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
8500000,11184.0,2,548.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
11500000,10870.0,2,886.0,2.0,1,1,0,0,0,0,18.599348,73.762495,Residential,Apartment,0
4900000,8167.0,1,486.0,1.0,1,1,0,0,0,0,18.616655,73.789527,Residential,Apartment,0
3700000,3524.0,2,850.0,2.0,1,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
3600000,7200.0,1,400.0,1.0,0,1,0,0,0,0,18.4461585389775,73.8821015230324,Residential,Apartment,0
27000000,13643.0,3,1414.0,4.0,0,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
3500000,4605.0,2,543.0,2.0,0,1,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
9936142,6853.0,3,1110.0,2.0,0,1,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
1400000,8750.0,1,100.0,1.0,0,1,0,0,0,0,18.51050508,73.86993915,Residential,Apartment,0
18000000,12000.0,3,1336.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
8700000,7909.0,2,900.0,2.0,1,1,0,0,0,0,18.5041515,73.9015575,Residential,Apartment,0
10500000,9276.0,3,989.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
8000000,8421.0,2,750.0,2.0,0,0,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
4500000,4891.0,2,620.0,2.0,0,1,0,0,0,0,18.4375067657152,73.7916389825431,Residential,Apartment,0
22500000,18000.0,3,1042.0,3.0,1,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
9300000,10333.0,2,706.0,2.0,1,1,0,0,0,0,18.6323526,73.8107226,Residential,Apartment,0
5200000,11231.0,1,397.0,1.0,0,0,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
6700000,8221.0,2,716.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
7200000,8000.0,2,673.0,2.0,1,1,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
3900000,4626.0,2,592.0,2.0,1,1,0,0,0,0,18.5079578,73.6822885,Residential,Apartment,0
10200000,7286.0,3,1020.0,3.0,0,0,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
5800000,10394.0,1,450.0,1.0,0,1,0,0,0,0,18.5635786191835,73.7712219425184,Residential,Apartment,0
9450000,11595.0,2,705.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
11200000,8000.0,3,1200.0,3.0,0,0,0,0,0,0,18.5079578,73.6822885,Residential,Apartment,0
9600000,9412.0,2,747.0,2.0,0,1,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
15100000,12583.0,3,1030.0,3.0,1,1,0,0,0,0,18.640704391697,73.7919814072661,Residential,Apartment,0
8500000,6773.0,2,935.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
3400000,5862.0,1,430.0,1.0,0,0,0,0,0,0,18.4942918,73.7214535,Residential,Apartment,0
10000000,8764.0,3,1042.0,2.0,1,1,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
2600000,4228.0,1,500.0,1.0,0,1,0,0,0,0,18.4444865911802,73.8231828087887,Residential,Apartment,0
8600000,10818.0,2,600.0,2.0,0,0,0,0,0,0,18.5204466,73.901158,Residential,Apartment,0
10800000,9566.0,2,877.0,2.0,0,0,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
8000000,10512.0,2,535.0,2.0,0,1,0,0,0,0,18.4575576340076,73.8049225876653,Residential,Apartment,0
12800000,9014.0,3,1268.0,3.0,1,1,0,0,0,0,18.6201867777314,73.7465762407311,Residential,Apartment,0
11000000,10476.0,2,940.0,2.0,1,1,0,0,0,0,18.5995184845644,73.7212220016587,Residential,Apartment,0
5400000,6413.0,2,740.0,2.0,0,1,0,0,0,0,18.4439750329832,73.8768659759521,Residential,Apartment,0
5500000,6571.0,2,837.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
4500000,6259.0,1,575.0,1.0,0,1,0,0,0,0,18.441244,73.799721,Residential,Apartment,0
12500000,12768.0,3,800.0,3.0,0,1,0,0,0,0,18.5878336641417,73.7485136212327,Residential,Apartment,0
8000000,8290.0,2,687.0,2.0,0,0,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
6500000,6842.0,2,650.0,2.0,0,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
5500000,5914.0,2,702.0,2.0,0,0,0,0,0,0,18.7318421,73.680706,Residential,Apartment,0
2300000,3286.0,2,650.0,1.0,0,0,0,0,0,0,18.3508177593047,74.0307512790923,Residential,Apartment,0
7500000,11538.0,1,527.0,1.0,0,1,0,0,0,0,18.5726776408445,73.8782245106378,Residential,Apartment,0
4650000,4774.0,2,735.0,2.0,0,1,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
5600000,11890.0,1,432.0,1.0,0,1,0,0,0,0,18.5476795,73.901482,Residential,Apartment,0
16500000,14667.0,2,900.0,2.0,1,1,0,0,0,0,18.5744326082844,73.9097761335821,Residential,Apartment,0
3800000,6786.0,1,460.0,1.0,0,0,0,0,0,0,18.474216,73.9794409,Residential,Apartment,0
3200000,7786.0,1,411.0,1.0,0,0,0,0,0,0,18.5215909041852,73.8675101744338,Residential,Apartment,0
6000000,6000.0,2,750.0,2.0,1,1,0,0,0,0,18.6201867777314,73.7465762407311,Residential,Apartment,0
7800000,8324.0,2,736.0,2.0,1,1,0,0,0,0,18.6536881,73.7400954,Residential,Apartment,0
4600000,6133.0,1,600.0,1.0,0,1,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
2800000,4667.0,1,500.0,1.0,1,0,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
10500000,6321.0,3,1134.0,2.0,1,1,0,0,0,0,18.6708036,73.7173175,Residential,Apartment,0
4480000,4073.0,2,700.0,2.0,1,1,0,0,0,0,18.452499,73.9042255,Residential,Apartment,0
8000000,8147.0,2,902.0,2.0,0,1,0,0,0,0,18.44917956,73.84158049,Residential,Apartment,0
13200000,10560.0,2,862.0,2.0,0,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
8126423,8554.0,2,715.0,2.0,1,1,0,0,0,0,18.5500045,73.920393,Residential,Apartment,0
7100000,8353.0,2,667.0,2.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
6000000,7308.0,2,690.0,2.0,0,0,0,0,0,0,18.6323526,73.8107226,Residential,Apartment,0
5586000,5700.0,2,726.0,2.0,0,0,0,0,0,0,18.4917644929129,73.9701465555334,Residential,Apartment,0
11000000,11752.0,2,831.0,2.0,1,1,0,0,0,0,18.6536881,73.7400954,Residential,Apartment,0
15000000,14423.0,2,763.0,2.0,1,1,0,0,0,0,18.5925615,73.7971225,Residential,Apartment,0
3000000,3750.0,2,700.0,2.0,0,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
2250000,3151.0,2,476.0,2.0,1,1,0,0,0,0,18.763475,73.838081,Residential,Apartment,0
21000000,17500.0,3,1036.0,3.0,1,1,0,0,0,0,18.66018406,73.7994844,Residential,Apartment,0
7200000,6261.0,2,1079.0,2.0,0,0,0,0,0,0,18.4680743173029,73.8930224694682,Residential,Apartment,0
8500000,8629.0,2,785.0,2.0,1,1,0,0,0,0,18.532526,73.944996,Residential,Apartment,0
4600000,6970.0,1,492.0,1.0,1,1,0,0,0,0,18.5911585,73.9260013,Residential,Apartment,0
11000000,11000.0,2,740.0,2.0,1,0,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
16000000,9143.0,3,1250.0,3.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
11000000,9167.0,3,815.0,3.0,1,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
4200000,4242.0,2,733.0,2.0,0,0,0,0,0,0,18.4439750329832,73.8768659759521,Residential,Apartment,0
5200000,5876.0,2,681.0,2.0,0,0,0,0,0,0,18.4444865911802,73.8231828087887,Residential,Apartment,0
4500000,5294.0,2,613.0,2.0,1,1,0,0,0,0,18.6788687708934,73.6883906367032,Residential,Apartment,0
7900000,8078.0,2,752.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
6900000,8364.0,2,650.0,2.0,0,0,0,0,0,0,18.5228754199699,73.985179560855,Residential,Apartment,0
1600000,3810.0,1,336.0,1.0,1,1,0,0,0,0,18.7621144,73.8657666,Residential,Apartment,0
3000000,6993.0,1,255.0,1.0,1,1,0,0,0,0,18.474216,73.9794409,Residential,Apartment,0
9300000,8968.0,2,798.0,2.0,0,1,0,0,0,0,18.521775,73.76628,Residential,Apartment,0
16900000,14420.0,2,879.0,2.0,0,0,0,0,0,0,18.5019176567919,73.8530399804943,Residential,Apartment,0
7000000,8065.0,2,686.0,2.0,1,0,0,0,0,0,18.4444865911802,73.8231828087887,Residential,Apartment,0
4500000,8772.0,2,412.0,1.0,1,1,0,0,0,0,18.5911585,73.9260013,Residential,Apartment,0
10000000,8889.0,2,804.0,2.0,0,0,0,0,0,0,18.4840208690126,73.7941150152749,Residential,Apartment,0
10500000,11053.0,2,732.0,2.0,0,1,0,0,0,0,18.6426375,73.7939649,Residential,Apartment,0
9500000,8261.0,2,920.0,2.0,0,1,0,0,0,0,18.51050508,73.86993915,Residential,Apartment,0
11000000,10680.0,2,864.0,2.0,1,1,0,0,0,0,18.6121071,73.7160621,Residential,Apartment,0
1350000,3375.0,1,395.0,1.0,0,0,0,0,0,0,18.4745372368681,73.8864312145165,Residential,Apartment,0
9400000,8174.0,2,850.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
8200000,10000.0,2,620.0,2.0,1,1,0,0,0,0,18.5046404,73.7649625,Residential,Apartment,0
7000000,8130.0,2,638.0,2.0,1,1,0,0,0,0,18.5845594755989,73.6872446873881,Residential,Apartment,0
9900000,9538.0,2,886.0,2.0,1,1,0,0,0,0,18.60470063,73.78706675,Residential,Apartment,0
18000000,10613.0,3,1212.0,3.0,0,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
12500000,10739.0,2,832.0,2.0,1,1,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
9190000,7294.0,3,928.0,2.0,0,1,0,0,0,0,18.4703680763148,73.900162950668,Residential,Apartment,0
7800000,6500.0,3,903.0,3.0,0,1,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
8500000,12736.0,2,60.0,2.0,0,0,0,0,0,0,18.470825437984,73.9158708957281,Residential,Apartment,0
16999999,9356.0,3,1346.0,3.0,0,0,0,0,0,0,18.4936093056155,73.9098701325955,Residential,Apartment,0
8250000,7653.0,2,797.0,2.0,0,1,0,0,0,0,18.6121071,73.7160621,Residential,Apartment,0
16000000,14545.0,2,800.0,2.0,0,0,0,0,0,0,18.4974571471335,73.8510042875154,Residential,Apartment,0
12500000,8389.0,3,1080.0,3.0,0,1,0,0,0,0,18.4233784664528,73.8883288371333,Residential,Apartment,0
7500000,8333.0,2,750.0,2.0,0,0,0,0,0,0,18.443965,73.809382,Residential,Apartment,0
8700000,10235.0,2,715.0,2.0,0,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
15000000,9025.0,3,1260.0,3.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
13400000,11443.0,2,980.0,2.0,0,1,0,0,0,0,18.5594882750649,73.809054939168,Residential,Apartment,0
5500000,9228.0,1,442.0,1.0,0,1,0,0,0,0,18.5013815,73.752738,Residential,Apartment,0
4000000,3929.0,2,713.0,2.0,1,1,0,0,0,0,18.5079578,73.6822885,Residential,Apartment,0
12000000,13714.0,3,925.0,2.0,1,1,0,0,0,0,18.5878336641417,73.7485136212327,Residential,Apartment,0
2600000,5417.0,1,350.0,1.0,0,0,0,0,0,0,18.5244474,73.9740341,Residential,Apartment,0
3500000,5368.0,1,442.0,1.0,1,1,0,0,0,0,18.677493,73.882904,Residential,Apartment,0
5700000,7308.0,1,571.0,1.0,0,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
18500000,10756.0,3,1367.0,3.0,0,1,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
9500000,9694.0,2,779.0,2.0,1,1,0,0,0,0,18.6498411481973,73.78001224759,Residential,Apartment,0
8500000,8095.0,2,726.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
7800000,7800.0,2,736.0,2.0,1,0,0,0,0,0,18.6536881,73.7400954,Residential,Apartment,0
5100000,6986.0,2,750.0,2.0,1,1,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
3100000,3647.0,1,650.0,1.0,0,1,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
9600000,11268.0,2,852.0,2.0,1,1,0,0,0,0,18.532526,73.944996,Residential,Apartment,0
7000000,6364.0,2,800.0,2.0,1,1,0,0,0,0,18.6121071,73.7160621,Residential,Apartment,0
1250000,3521.0,1,265.0,1.0,0,1,0,0,0,0,18.765665,73.615038,Residential,Apartment,0
7200000,6025.0,2,890.0,2.0,1,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
7500000,8918.0,2,700.0,2.0,0,0,0,0,0,0,18.4633272035409,73.8518017049147,Residential,Apartment,0
12000000,12000.0,2,945.0,2.0,1,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
11700000,12037.0,2,850.0,2.0,1,1,0,0,0,0,18.564819,73.812502,Residential,Apartment,0
3250000,5078.0,1,460.0,1.0,0,1,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
17500000,10593.0,3,1268.0,3.0,1,1,0,0,0,0,18.5046404,73.7649625,Residential,Apartment,0
7400000,7765.0,2,705.0,2.0,0,0,0,0,0,0,18.5995184845644,73.7212220016587,Residential,Apartment,0
17200000,13815.0,3,1460.0,3.0,1,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
10500000,11667.0,2,800.0,2.0,0,1,0,0,0,0,18.5046404,73.7649625,Residential,Apartment,0
6300000,7875.0,2,686.0,2.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
11500000,9991.0,3,853.0,3.0,1,1,0,0,0,0,18.5228754199699,73.985179560855,Residential,Apartment,0
7000000,6542.0,2,811.0,2.0,1,1,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
9000000,11349.0,2,642.0,2.0,1,1,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
2700000,4696.0,1,423.0,1.0,0,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
3600000,4265.0,2,650.0,2.0,1,1,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
10550000,10446.0,2,866.0,2.0,1,1,0,0,0,0,18.5938990526205,73.7710454381097,Residential,Apartment,0
6800000,7640.0,2,750.0,2.0,0,0,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
12500000,10994.0,3,907.0,2.0,1,1,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
3300000,5670.0,2,416.0,2.0,0,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
16000000,10000.0,3,1452.0,3.0,1,1,0,0,0,0,18.5204466,73.901158,Residential,Apartment,0
6800000,9444.0,2,700.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
15000000,13043.0,2,980.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
8600000,7963.0,2,803.0,2.0,0,0,0,0,0,0,18.532526,73.944996,Residential,Apartment,0
11000000,11411.0,2,780.0,2.0,0,1,0,0,0,0,18.5215909041852,73.8675101744338,Residential,Apartment,0
8700000,6444.0,3,1000.0,3.0,0,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
19500000,12540.0,3,1152.0,3.0,0,0,0,0,0,0,18.4758155884562,73.8576587695947,Residential,Apartment,0
7300000,8391.0,2,630.0,2.0,0,0,0,0,0,0,18.4474672776,73.8746620388626,Residential,Apartment,0
8600000,11862.0,2,638.0,2.0,1,1,0,0,0,0,18.6201867777314,73.7465762407311,Residential,Apartment,0
9000000,8333.0,2,727.0,2.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
16500000,10784.0,3,1300.0,3.0,1,1,0,0,0,0,18.60026559,73.82805808,Residential,Apartment,0
12000000,9756.0,3,1012.0,3.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
6500000,7119.0,2,702.0,2.0,1,1,0,0,0,0,18.5768131896138,73.9780692718883,Residential,Apartment,0
4500000,5625.0,2,636.0,1.0,1,1,0,0,0,0,18.5892565,73.813192,Residential,Apartment,0
6500000,9878.0,2,590.0,2.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
17000000,13600.0,3,1050.0,2.0,0,1,0,0,0,0,18.55895,73.77823,Residential,Apartment,0
5900000,5235.0,2,800.0,2.0,0,0,0,0,0,0,18.6536881,73.7400954,Residential,Apartment,0
6500000,10000.0,1,550.0,1.0,0,1,0,0,0,0,18.518510524364,73.8850947377621,Residential,Apartment,0
8200000,7130.0,2,792.0,2.0,0,1,0,0,0,0,18.5469121,73.7564974,Residential,Apartment,0
10000000,7407.0,3,964.0,3.0,1,0,0,0,0,0,18.6323526,73.8107226,Residential,Apartment,0
10300000,13715.0,2,636.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
23999000,13186.0,3,1368.0,3.0,1,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
8900000,5933.0,3,1326.0,3.0,1,1,0,0,0,0,18.6615249843968,73.7287790957994,Residential,Apartment,0
14500000,10417.0,3,1180.0,3.0,0,1,0,0,0,0,18.5763765,73.779815,Residential,Apartment,0
11000000,13497.0,3,710.0,3.0,0,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
14100000,9295.0,3,1161.0,3.0,1,0,0,0,0,0,18.57714747,73.712594,Residential,Apartment,0
5450000,6511.0,2,636.0,2.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
6000000,8000.0,2,636.0,2.0,1,1,0,0,0,0,18.6681609,73.7026943,Residential,Apartment,0
7200000,8571.0,2,680.0,2.0,0,0,0,0,0,0,18.6345905,73.8489369,Residential,Apartment,0
10000000,11111.0,2,760.0,2.0,0,0,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
6500000,6842.0,2,760.0,2.0,1,1,0,0,0,0,18.4439750329832,73.8768659759521,Residential,Apartment,0
3000000,4615.0,1,440.0,1.0,0,0,0,0,0,0,18.452499,73.9042255,Residential,Apartment,0
